stcd,year-mon,year,mon,p1,p2,p3,p4
53898,2000/1/1,2000,1,10,14,-9,-9
53898,2000/2/1,2000,2,-57,-45,-30,-23
53898,2000/3/1,2000,3,95,100,110,90
53898,2000/4/1,2000,4,113,104,135,135
53898,2000/5/1,2000,5,244,202,243,255
53898,2000/6/1,2000,6,247,228,214,223
53898,2000/7/1,2000,7,336,309,272,236
53898,2000/8/1,2000,8,287,281,256,247
53898,2000/9/1,2000,9,266,271,274,274
53898,2000/10/1,2000,10,197,202,209,189
53898,2000/11/1,2000,11,99,114,128,145
53898,2000/12/1,2000,12,39,50,36,58
53898,2001/1/1,2001,1,37,4,-18,-35
53898,2001/2/1,2001,2,13,23,1,-21
53898,2001/3/1,2001,3,104,114,91,85
53898,2001/4/1,2001,4,126,144,121,140
53898,2001/5/1,2001,5,197,206,219,221
53898,2001/6/1,2001,6,287,296,280,287
53898,2001/7/1,2001,7,319,320,261,283
53898,2001/8/1,2001,8,267,263,266,278
53898,2001/9/1,2001,9,243,249,247,258
53898,2001/10/1,2001,10,208,187,168,134
53898,2001/11/1,2001,11,99,88,98,101
53898,2001/12/1,2001,12,38,20,29,-5
53898,2002/1/1,2002,1,-14,-4,22,33
53898,2002/2/1,2002,2,37,11,28,48
53898,2002/3/1,2002,3,86,26,26,28
53898,2002/4/1,2002,4,170,194,154,159
53898,2002/5/1,2002,5,164,147,165,189
53898,2002/6/1,2002,6,263,260,300,285
53898,2002/7/1,2002,7,266,259,278,259
53898,2002/8/1,2002,8,298,303,303,312
53898,2002/9/1,2002,9,295,269,231,216
53898,2002/10/1,2002,10,202,191,187,183
53898,2002/11/1,2002,11,74,68,81,98
53898,2002/12/1,2002,12,35,36,49,47
53898,2003/1/1,2003,1,-82,-54,-56,-78
53898,2003/2/1,2003,2,-20,-2,19,11
53898,2003/3/1,2003,3,20,64,26,14
53898,2003/4/1,2003,4,115,83,94,115
53898,2003/5/1,2003,5,209,212,216,180
53898,2003/6/1,2003,6,265,200,184,230
53898,2003/7/1,2003,7,237,242,251,284
53898,2003/8/1,2003,8,254,264,256,257
53898,2003/9/1,2003,9,171,196,207,192
53898,2003/10/1,2003,10,154,124,128,127
53898,2003/11/1,2003,11,176,153,116,128
53898,2003/12/1,2003,12,28,16,8,-4
53898,2004/1/1,2004,1,52,16,31,10
53898,2004/2/1,2004,2,20,-3,-9,10
53898,2004/3/1,2004,3,43,14,27,69
53898,2004/4/1,2004,4,115,110,80,96
53898,2004/5/1,2004,5,158,134,138,161
53898,2004/6/1,2004,6,215,229,230,205
53898,2004/7/1,2004,7,249,286,294,275
53898,2004/8/1,2004,8,242,234,274,273
53898,2004/9/1,2004,9,250,257,236,233
53898,2004/10/1,2004,10,153,127,135,147
53898,2004/11/1,2004,11,139,117,110,134
53898,2004/12/1,2004,12,27,32,51,64
53898,2005/1/1,2005,1,-78,-51,-21,-39
53898,2005/2/1,2005,2,-29,-32,-6,-6
53898,2005/3/1,2005,3,28,35,22,12
53898,2005/4/1,2005,4,105,125,127,184
53898,2005/5/1,2005,5,211,177,202,198
53898,2005/6/1,2005,6,290,267,271,274
53898,2005/7/1,2005,7,285,257,255,273
53898,2005/8/1,2005,8,292,268,244,251
53898,2005/9/1,2005,9,241,236,216,211
53898,2005/10/1,2005,10,191,155,147,157
53898,2005/11/1,2005,11,119,141,132,139
53898,2005/12/1,2005,12,82,35,26,-18
53898,2006/1/1,2006,1,-16,-27,-17,-25
53898,2006/2/1,2006,2,-13,10,-53,-48
53898,2006/3/1,2006,3,26,43,61,117
53898,2006/4/1,2006,4,162,149,155,149
53898,2006/5/1,2006,5,207,185,197,240
53898,2006/6/1,2006,6,252,253,238,248
53898,2006/7/1,2006,7,265,252,235,269
53898,2006/8/1,2006,8,246,252,242,226
53898,2006/9/1,2006,9,237,250,256,150
53898,2006/10/1,2006,10,186,200,196,206
